1	https://fr.wikipedia.org/wiki/Robot	200	UTF-8	5681

2	https://fr.wikipedia.org/wiki/Robot_de_cuisine	200	UTF-8	1161

3	fr.wikipedia.org/wiki/Robot_d%27indexation	200	UTF-8	1765

4	https://fr.wikipedia.org/wiki/Bot_informatique	200	UTF-8	2583

5	https://fr.wikipedia.org/wiki/Atlas_(robot)	200	UTF-8	1167

6	https://roboty.magistry.fr	000	not mentionned	0

7	https://fr.wikipedia.org/wiki/Robot_(Leonard_de_Vinci)	404	UTF-8	440

8	https://fr.wiktionary.org/wiki/robot	200	UTF-8	4813

9	https://fr.wikipedia.org/wiki/Protocole_d%27exclusion_des_robots	200	UTF-8	1139

10	https://fr.wikipedia.org/wiki/Robotique	200	UTF-8	13025

